pff_player_id,player_name,prev_season
106073,Isaiah Johnson,2021
122574,Karon Prunty,2024
122908,Caleb Offord,2024
125287,Courtney Eubanks,2022
147978,Chance Gamble,2023
159586,Ezekiel Blake,2023
159913,Jam Jackson,2023
173463,TJ Crandall,2023
173761,Jevon McIver Jr.,2023
175191,Antoine Jackson,2023
141727,Abraham Williams,2024
176775,Andrew Powdrell,2024
155787,Jalen McClendon,2024
171451,Kaleno Levine,2024
170441,Cam Vaughn,2024
190753,Joseph Williams,2024
121811,Jaylin Lane,2022
150169,Gage Larvadain,2023
149111,Tre Shackelford,2023
149140,Drae McCray,2022
159603,Justin Bowick,2023
149997,Raphael Williams Jr.,2023
125264,Micah Davis,2023
121426,Caullin Lacy,2023
128374,Kyle Williams,2022
138149,Jalen Bracey,2021
97399,Jamari Thrash,2022
104954,Mason Pierce,2022
89497,Izaiah Gathings,2020
64309,Daylen Baldwin,2020
63672,Bryce Nunnelly,2020
147781,Devin Gandy,2024
177231,Griffin Wilde,2024
175085,Mark Hamper,2024
129503,Nick DeGennaro,2024
91790,Joe Golden,2021
100955,Rick D'Abreu,2022
123708,T.J. Jackson,2023
141716,Okiki Olorunfunmi,2023
147092,Josaiah Stewart,2022
131903,Cooper McDonald,2023
108107,Donnell Brown,2022
158699,Gabe Kirschke,2024
156660,Keyron Crawford,2023
106263,Dylan Wudke,2023
149961,Kobe Stewart,2023
157215,Nuer Gatkuoth,2024
105337,Kale Edwards,2023
101405,Noah Potter,2022
98121,Richie Hagarty,2022
75742,Solomon Byrd,2021
88437,Scotty Humpich,2021
165457,Ashaad Hall,2024
148849,Braden Mullen,2024
100437,Stephon Wright,2024
102067,Monroe Beard III,2023
139005,Chandler Martin,2022
98123,Dan Foster Jr.,2023
130354,JB Brown,2022
165778,Blaise Tita,2023
156889,Bryan McCoy Jr.,2024
159431,Jahsiah Galvan,2023
77185,Antonio Grier,2022
79542,BJ Davis,2022
149135,Joshua Rudolph,2022
88501,Nate Norris,2022
77152,Eriq Gilyard,2021
81272,Lorenzo McCaskill,2021
159115,Marco Patierno,2024
89160,Cory McCoy,2020
121497,Mac McWilliams,2023
184348,Jordan Scruggs,2024
76740,Jeremy Lucien,2021
97676,Josh Wallace,2022
101078,Ja'Quan Sheppard,2022
101146,Cam Lampkin,2021
105714,Yahsyn McKee,2021
121345,Elijah Culp,2020
122628,Trey Amos,2022
128307,Dezjhon Malone,2023
142101,Arsheen Jiles,2023
143073,Terrence Spence,2023
145378,LaMareon James,2023
149264,Ethan Robinson,2023
149952,Jordan Oladokun,2021
150353,Canden Grogan,2023
158982,Ormanie Arnold,2023
163211,Donavon Platt,2024
172197,Dontay Joyner,2024
175097,Andrew Marshall,2024
161247,Jayvon Henderson,2024
170699,Jon Johnson,2024
97105,Cam Ross,2024
158022,Reggie Virgil,2024
88746,Landon Parker,2022
123616,LaJohntay Wester,2023
101711,Dalevon Campbell,2023
143759,Nate Bennett,2023
97620,Zakhari Franklin,2022
163139,Chrishon McCray,2024
164032,Kenny Odom,2023
157518,Jacoby Jones,2023
149138,Kam Thomas,2023
97287,Trevor Wilson,2020
157480,Darius Lassiter,2022
145196,Jahmal Edrine,2023
109734,Ahmad Edwards,2022
102592,Ayir Asante,2022
142525,Jacari Carter,2022
123583,Jadon Thompson,2022
109511,Quinton Lane,2022
101139,Ryan O'Keefe,2022
102597,Jerreth Sterns,2020
55283,Keith Pearson,2020
87665,Michael Jefferson,2020
84427,Remi Simmons,2020
177868,E. Jai Mason,2024
173738,Jaden Barnes,2024
78198,Shane Hooks,2019
138455,Mikail Kamara,2023
76813,Antonio Colclough,2023
147407,Langston Hardy,2024
150369,Breylon Charles,2023
98178,Jaylen Pate,2021
128432,Braden Siders,2024
138152,Giovanni Davis,2023
147813,DeShawn Lynch,2023
98193,Quindarius Dunnigan,2023
83346,Paul Moala,2022
158637,Nathan Voorhis,2024
62494,Alex Howard,2023
102118,Jacob Dobbs,2023
86729,Ozzie Nicholas,2023
99728,Demetrius Knight Jr.,2023
148812,Macklin Ayers,2023
130573,Daveren Rayner,2022
77254,Ryan Selig,2022
75826,Blaze Alldredge,2020
192037,Anthony Palano,2024
175078,Jaxton Eck,2024
133963,Ray Coney,2024
78673,Decorian Patterson,2022
83459,Beanie Bishop Jr.,2021
150058,Brian Mayes,2023
160267,Adrian Maddox,2023
65033,Akayleb Evans,2020
65081,Allie Green IV,2020
84268,Josh Newton,2021
97468,Trevon Booker,2023
103580,Jarius Monroe,2021
103583,Devyn Coles,2021
103620,Kam Alexander,2022
104323,Glenn Brown,2022
105835,Amir Wallace,2023
121668,Channing Canada,2022
148086,Johnathan Edwards,2023
148570,Ayden Garnes,2023
156723,Brent Austin,2024
159385,Bilhal Kone,2022
159892,Jason Chambers,2024
169935,DeAgo Brumfeld,2023
141638,Colby Humphrey,2024
160106,Jaden Rios,2024
161488,Tre Bell,2024
161339,Rahkeem Smith,2023
142935,Dymere Miller,2023
142483,Davon Wells,2023
145441,Fred Farrier II,2023
102637,Jaden Smith,2023
102578,Jakobie Keeney-James,2023
144234,Will Pauling,2022
156582,Cyrus Allen,2023
149817,Andrew McElroy,2023
106748,C.J. Charleston,2023
123709,Tez Johnson,2022
84401,Isaiah Hamilton,2022
100894,Jacob Cowing,2021
87662,Jeremiah Hixon,2022
159703,Malik Baker,2022
105004,Shawn Harris Jr.,2022
147647,Charles Brown,2021
146387,Keontez Lewis,2024
61271,Matt Landers,2021
102567,Tyler Hudson,2021
102544,Brandon Sanders,2020
165302,Colin Chase,2024
170781,Danny Scudero,2024
145365,Levi Wentz,2024
177939,Zion Booker,2024
98604,Marcus Bragg,2021
82430,Mohamed Diallo,2020
155869,Eric O'Neill,2023
104402,Khairi Manns,2022
148771,Malin White,2023
142424,John Pius,2023
123287,Tramel Logan,2023
159893,Kendrick DuJour,2023
146179,Tre Smith,2023
132404,Brice Bass,2023
97960,Richard Kinley,2023
102860,Jamil Muhammad,2022
104365,Jack Barton,2023
122747,Devin Goree,2023
76957,Andre Carter,2022
104364,Antonio Smith,2022
83724,Daniel Grzesiak,2022
82645,Eyabi Okie-Anoma,2021
79348,Kwame Sutton,2022
133626,Anas Luqman,2024
172683,Brayden Manley,2024
149576,Finn Claypool,2024
175089,Keyshawn James-Newby,2024
122261,Tony Anyanwu,2024
54193,Jaheim Thomas,2022
103830,Brevin Randle,2022
169223,Max Harris,2024
147163,Kendre' Gant,2023
122396,Stephen Dix Jr.,2023
98532,Tatum Bethune,2021
105332,Trimarcus Cheeks,2021
55050,Troy Brown,2021
97144,Malik Fleming,2022
125305,Marques Sigle,2022
138115,Jyron Gilmore,2023
155503,Donald Lee,2023
42620,Brandon Moore,2021
75699,Rashad Ajayi,2021
78999,Marque Collins,2023
83237,Dylan Wyatt,2022
83356,Tyrek Funderburk,2022
97230,Marcus Harris,2023
103561,Kamden Garrett,2022
104234,JT Thompson,2020
105068,Tre'Von Jones,2022
123734,Davonte Brown,2022
139116,Alex Oliver,2023
142350,Aamir Hall,2023
145889,Torrie Cox Jr.,2023
157447,Isaiah Brown-Murray,2024
159665,Bryce Phillips,2023
163962,Jabari Mack,2024
171518,Jaylen Castleberry,2024
131568,Khary Crump,2024
147222,Ashtyn Hawkins,2023
173021,Beau Sparks,2023
156940,Jonathan Brady,2023
167083,Antonio Jones,2023
150199,Myles Butler,2023
123874,CJ Daniels,2023
98301,Stanley King,2023
148152,Eli Green,2023
122676,Tre Harris,2022
97278,Javon Harvey,2023
174143,DT Sheffield,2024
97321,Ryan Davis,2024
150262,Jaden Smith,2023
149719,Nazeviah Burris,2023
173764,Ashton Nickelberry,2023
145887,Miles Cross,2023
141590,Xavier Guillory,2022
159499,Elijah Sarratt,2022
168441,Kole Wilson,2022
145575,Elijah Spencer,2022
138470,Antwane Wells Jr.,2021
105693,AJ Toney,2021
104931,Dequece Carter,2022
145773,Devontez Walker,2022
142674,Naiem Simmons,2022
91436,Phoenix Sproles,2022
91447,Dexter Boykin,2021
78779,Terrance Greene Jr.,2021
102599,Ben Ratzlaff,2020
145374,Deeve Harris,2022
173739,Travis Bates,2023
159396,Antoineo Harris Jr.,2023
104423,Marlem Louis,2023
132408,Ty French,2023
145707,Quindario Lee,2023
142080,Christopher Eaton Jr.,2024
76902,Randy Charlton,2020
124277,Martavius French,2024
105001,Branson Combs,2023
157027,Mani Powell,2024
77266,Keye Thompson,2023
142172,Teddye Buchanan,2023
142289,Darius McKenzie,2023
145230,Gaethan Bernadel,2022
173560,Jaden Yates,2024
157870,Khalil Jacobs,2023
101172,AJ Vongphachanh,2022
87272,Donovan Manuel,2021
104546,Jacob Roberts,2022
57662,Jack Gibbens,2020
189285,Ayden Jones,2024
58293,Treshaun Hayward,2020
63327,Zack Woodard,2020
53418,James Camden,2024
91263,Amonte Strothers,2022
97329,Derrick Canteen,2022
106009,Kendren Smith,2023
129686,RJ Delancy III,2023
131462,Preston Hodge,2023
156809,Jacobie Henderson,2024
161375,Syeed Gibbs,2023
55750,C.J. Coldon Jr.,2021
83253,DJ Johnson,2020
102650,Bryquice Brown,2023
122837,Tony Grimes,2024
127825,Kahzir Brown,2023
138141,Nyquan Washington,2023
141889,Zy Alexander,2022
142076,Lake Ellis,2023
150257,John Blunt Jr.,2022
157861,Marquise Robinson,2023
168425,Dyoni Hill,2023
168495,Trent Henry,2023
172213,Dontez Fagan,2023
172259,D'Angelo Ponds,2023
172547,Will James,2024
160110,Andrew Armstrong,2022
160756,Kevin Coleman,2022
104059,Da'Quan Felton,2022
157048,Omari Kelly,2024
144279,Eric Rivers,2024
74267,Melquan Stovall,2022
100273,Tyrone Broden,2022
124211,Ja'Mori Maclin,2023
145976,Eric McAlister,2023
105723,Brett Buckman,2022
163334,Justus Ross-Simmons,2023
97061,Josh Kelly,2022
109517,Solomon Davis,2023
162635,Devan Williams,2023
123689,Jabre Barber,2023
160766,Travis Hunter,2022
97181,Dayton Wade,2021
149236,Elijah Smoot,2022
97215,Lincoln Victor,2020
78014,Mark Pope,2022
78120,Randy Fields Jr.,2022
78831,Zack Dobson,2022
77955,D'Marcus Adams,2021
41966,Devaughn Cooper,2020
61342,Ezrah Archie,2021
102929,Kaylon Geiger,2020
97867,Broc Thompson,2020
133220,Robert Ferrel,2021
149832,Javin Whatley,2024
192936,Matthew Henry,2024
123276,Sincere Brown,2024
145655,Cashius Howell,2023
151205,Tyrin Bradley,2022
145527,Trey Moore,2023
98162,Elijah Alston,2023
100324,Blaine Spires,2024
144409,Keith Cooper Jr.,2023
150230,Syrus Webster,2023
101963,Kamari Stephens,2022
128136,Andy Nwaoko,2023
121837,Jacob Busic,2023
77164,Anthony Goodlow,2022
101903,Chance Main,2021
82299,Davoan Hawkins,2022
79454,Josh Carr Jr.,2020
56862,Arnold Ebiketie,2020
101226,Jacoby Windmon,2021
57759,Jerry Roberts,2020
164530,Melkart Abou-Jaoude,2024
145978,Andrew Simpson,2024
147861,Jack Kelly,2023
104514,Jason Johnson,2021
105386,Tyler Jackson,2022
164824,Gary Bryant III,2024
150093,Micah Davey,2024
144393,Jalen McMurray,2023
150058,Brian Mayes,2022
76604,Capone Blue,2023
97539,Quincy Riley,2021
101788,Jonathan Jones,2022
103567,Willie Roberts,2021
106697,Dom Jones,2022
122146,Fred Davis II,2024
146043,Julian Neal,2024
147394,Malcolm Bell,2024
150703,Kolbey Taylor,2023
156676,Matthew McDoom,2024
175720,Michael Coats Jr.,2024
165156,Boogie Trotter,2024
159892,Jason Chambers,2023
159729,Roman Pearson,2024
