season,offense,team_off_snaps
2021,GATC,978
2022,GATC,993
2023,GATC,1062
2024,GATC,1083
2020,GAUN,820
2021,GAUN,1145
2022,GAUN,1248
2023,GAUN,1140
2024,GAUN,1125
2023,GAVA,86
2023,GAWG,746
2024,GAWG,919
2020,HIUN,780
2021,HIUN,1097
2022,HIUN,1096
2023,HIUN,1050
2024,HIUN,980
2020,IADR,347
2021,IADR,751
2022,IADR,906
2023,IADR,953
2024,IADR,871
2020,IANO,529
2021,IANO,953
2022,IANO,863
2023,IANO,858
2024,IANO,850
2023,IANW,82
2020,IAST,998
2021,IAST,1040
2022,IAST,1031
2023,IAST,950
2024,IAST,1187
2020,IAUN,657
2021,IAUN,1120
2022,IAUN,949
2023,IAUN,1030
2024,IAUN,945
2024,IAUP,88
2020,IDBO,569
2021,IDBO,1041
2022,IDBO,1136
2023,IDBO,1135
2024,IDBO,1166
2020,IDST,546
2021,IDST,927
2022,IDST,904
2023,IDST,958
2024,IDST,1050
2020,IDUN,540
2021,IDUN,874
2022,IDUN,980
2023,IDUN,1029
2024,IDUN,1025
2020,ILEA,499
2021,ILEA,888
2022,ILEA,859
2023,ILEA,924
2024,ILEA,943
2022,ILMK,100
2024,ILMK,95
2020,ILNO,542
2021,ILNO,1218
2022,ILNO,986
2023,ILNO,995
2024,ILNO,1093
2020,ILNW,801
2021,ILNW,986
2022,ILNW,1040
2023,ILNW,1038
2024,ILNW,913
2024,ILQU,33
2024,ILRU,72
2020,ILSO,845
2021,ILSO,1110
2022,ILSO,938
2023,ILSO,989
2024,ILSO,979
2020,ILST,341
2021,ILST,781
2022,ILST,845
2023,ILST,916
2024,ILST,1192
2020,ILUN,646
2021,ILUN,965
2022,ILUN,1109
2023,ILUN,980
2024,ILUN,973
2020,ILWE,510
2021,ILWE,946
2022,ILWE,849
2023,ILWE,860
2024,ILWE,1033
2020,INBS,737
2021,INBS,1084
2022,INBS,1081
2023,INBS,942
2024,INBS,1005
2020,INBU,455
2021,INBU,865
2022,INBU,891
2023,INBU,847
2024,INBU,905
2021,INDE,61
2024,INHA,69
2020,INND,1040
