season,offense,team_off_snaps
2022,VAHI,779
2023,VAHI,872
2024,VAHI,1030
2020,VAJM,680
2021,VAJM,1174
2022,VAJM,977
2023,VAJM,1059
2024,VAJM,1082
2020,VALB,936
2021,VALB,1061
2022,VALB,1077
2023,VALB,1166
2024,VALB,993
2021,VALY,330
2022,VALY,521
2023,VALY,424
2024,VALY,386
2020,VAMI,727
2021,VAMI,1018
2022,VAMI,906
2023,VAMI,880
2024,VAMI,891
2021,VANO,944
2022,VANO,814
2023,VANO,878
2024,VANO,870
2021,VAOD,1111
2022,VAOD,907
2023,VAOD,1030
2024,VAOD,1002
2023,VAPE,81
2024,VAPE,68
2020,VAPI,895
2021,VAPI,1034
2022,VAPI,904
2023,VAPI,1047
2024,VAPI,1012
2020,VARI,308
2021,VARI,888
2022,VARI,1175
2023,VARI,1019
2024,VARI,996
2020,VAUN,899
2021,VAUN,1078
2022,VAUN,812
2023,VAUN,1046
2024,VAUN,1008
2021,VAVU,69
2024,VAVU,59
2020,VAWM,212
2021,VAWM,824
2022,VAWM,1006
2023,VAWM,815
2024,VAWM,940
2020,WACE,75
2021,WACE,87
2023,WACE,92
2024,WACE,82
2020,WAEA,666
2021,WAEA,1265
2022,WAEA,956
2023,WAEA,1000
2024,WAEA,1039
2020,WAST,325
2021,WAST,1039
2022,WAST,1046
2023,WAST,1024
2024,WAST,1059
2020,WAUN,319
2021,WAUN,937
2022,WAUN,1151
2023,WAUN,1194
2024,WAUN,1003
2023,WISP,83
2020,WIUN,589
2021,WIUN,1034
2022,WIUN,1004
2023,WIUN,1095
2024,WIUN,952
2020,WVMA,785
2021,WVMA,1137
2022,WVMA,1153
2023,WVMA,1081
2024,WVMA,1034
2023,WVSH,67
2023,WVST,78
2020,WVUN,898
2021,WVUN,1079
2022,WVUN,1052
2023,WVUN,1078
2024,WVUN,1069
2021,WVWE,70
2024,WVWE,71
2024,WVWJ,74
2020,WYUN,496
2021,WYUN,1017
2022,WYUN,977
2023,WYUN,955
2024,WYUN,984
2025,ALAM,237
2025,ALAU,236
2025,ALBI,235
2025,ALJA,242
2025,ALMI,88
2025,ALNO,272
2025,ALSM,271
2025,ALSO,224
2025,ALST,215
2025,ALTR,230
2025,ALTU,54
2025,ALUN,229
2025,ARBP,77
2025,ARCE,252
2025,ARPB,242
2025,ARST,261
2025,ARUN,247
2025,AZNO,258
2025,AZST,242
2025,AZUN,240
2025,CADA,161
2025,CAFR,294
2025,CALA,219
2025,CALI,61
2025,CASA,208
2025,CASC,231
2025,CASJ,170
2025,CASL,247
2025,CASS,169
2025,CAST,229
2025,CASU,231
2025,CAUN,235
2025,COAF,170
2025,CONO,221
2025,COST,156
2025,COUN,231
2025,CTCE,240
2025,CTNH,229
2025,CTSH,236
2025,CTUN,266
2025,DCGT,241
2025,DCHO,226
2025,DEST,267
2025,DEUN,256
2025,FLAM,248
2025,FLAT,294
2025,FLBC,239
2025,FLCE,152
2025,FLIN,253
2025,FLMI,240
2025,FLSO,230
2025,FLSS,237
2025,FLST,159
2025,FLUN,251
2025,FLWE,72
2025,FLWR,95
2025,GAAL,72
2025,GAKS,232
2025,GAME,167
2025,GAMH,77
2025,GASO,244
2025,GAST,239
2025,GATC,230
2025,GAUN,281
2025,GAWG,277
2025,HIUN,347
2025,IADR,157
2025,IANO,229
2025,IAST,305
2025,IAUN,238
2025,IAUP,63
2025,IDBO,181
2025,IDST,257
2025,IDUN,231
2025,ILEA,267
2025,ILMK,97
2025,ILNO,169
2025,ILNW,225
2025,ILSO,218
2025,ILST,227
2025,ILUN,233
2025,ILWE,221
2025,INBS,196
2025,INBU,246
2025,INHA,70
2025,INND,159
2025,INPU,235
2025,INST,245
2025,INUN,262
2025,INVA,203
2025,KSST,276
2025,KSUN,221
2025,KYEA,218
2025,KYLO,142
2025,KYMO,214
2025,KYMU,250
2025,KYST,81
2025,KYTM,139
2025,KYUN,250
2025,KYWE,273
2025,LAGR,241
2025,LALC,78
2025,LAMC,248
2025,LANE,145
2025,LANI,216
2025,LANW,200
2025,LASE,246
2025,LASO,308
2025,LAST,233
2025,LASW,201
2025,LATC,241
2025,LATU,251
2025,MAAI,73
2025,MABC,264
2025,MABE,72
2025,MAHC,209
2025,MAMK,226
2025,MAST,228
2025,MAUN,224
2025,MDBO,86
2025,MDMO,225
2025,MDNA,239
2025,MDTO,212
2025,MDUN,256
2025,MEUN,221
2025,MIAD,73
2025,MICE,231
2025,MIEA,243
2025,MINO,85
2025,MIST,235
2025,MIUN,240
2025,MIWE,231
2025,MNST,211
2025,MNUN,246
2025,MOLW,245
2025,MONE,67
2025,MOSE,246
2025,MOSW,242
2025,MOUN,283
2025,MSAL,240
2025,MSJA,246
2025,MSSO,243
2025,MSST,231
2025,MSUN,268
2025,MSVA,238
2025,MTST,247
2025,MTUN,161
2025,NCAP,279
2025,NCAT,251
2025,NCCE,315
2025,NCCM,258
2025,NCCR,237
2025,NCDA,237
2025,NCDU,235
2025,NCEA,278
2025,NCEC,78
2025,NCEL,264
2025,NCFA,72
2025,NCGW,280
2025,NCST,249
2025,NCUN,197
2025,NCWE,300
2025,NCWF,230
2025,NDST,228
2025,NDUN,275
2025,NECH,72
2025,NEUN,253
2025,NHSA,68
2025,NHUN,236
2025,NJMO,264
2025,NJRU,256
2025,NMST,230
2025,NMUN,237
2025,NVLV,220
2025,NVRE,220
2025,NYAB,230
2025,NYBU,237
2025,NYCG,268
2025,NYCW,203
2025,NYFO,275
2025,NYMR,268
2025,NYST,246
2025,NYSY,283
2025,NYWA,246
2025,NYWP,192
2025,OHAK,251
2025,OHBG,242
2025,OHCI,195
2025,OHDA,150
2025,OHKS,241
2025,OHMI,111
2025,OHST,215
2025,OHTO,258
2025,OHUN,239
2025,OHYO,222
2025,OKLA,165
2025,OKNE,82
2025,OKST,167
2025,OKTU,264
2025,OKUN,257
2025,ORCL,87
2025,ORPS,277
2025,ORST,255
2025,ORUN,220
2025,PABU,230
2025,PADU,230
2025,PALE,220
2025,PALF,228
2025,PALN,79
2025,PAME,262
2025,PAPT,241
2025,PARM,210
2025,PASF,200
2025,PAST,237
2025,PATE,231
2025,PAVI,158
2025,RIBT,242
2025,RIUN,226
2025,SCAL,88
2025,SCCC,247
2025,SCCH,206
2025,SCCI,205
2025,SCCL,209
2025,SCER,61
2025,SCFU,242
2025,SCPR,257
2025,SCST,273
2025,SCUN,212
2025,SCWO,197
2025,SDST,251
2025,SDVE,205
2025,TNAI,217
2025,TNAP,239
2025,TNCC,73
2025,TNCH,249
2025,TNEA,260
2025,TNMI,240
2025,TNMR,235
2025,TNMS,230
2025,TNTC,235
2025,TNUN,290
2025,TNVA,211
2025,TXAC,250
2025,TXAM,259
2025,TXBA,294
2025,TXCU,157
2025,TXEA,164
2025,TXEP,230
2025,TXGV,238
2025,TXHO,251
2025,TXHT,252
2025,TXIW,273
2025,TXLA,222
2025,TXMU,246
2025,TXNO,239
2025,TXPV,247
2025,TXRI,247
2025,TXSF,221
2025,TXSH,238
2025,TXSN,266
2025,TXSO,210
2025,TXSR,119
2025,TXSW,256
2025,TXTA,318
2025,TXTC,261
2025,TXUN,247
2025,UTBY,158
2025,UTDX,234
2025,UTSO,261
2025,UTST,232
2025,UTUN,273
2025,UTWB,235
2025,VAFC,80
2025,VAHI,239
2025,VAJM,174
2025,VALB,239
2025,VALY,82
2025,VAMI,231
2025,VANO,240
2025,VAOD,213
2025,VAPE,98
2025,VAPI,250
2025,VARI,225
2025,VAUN,281
2025,VAWM,225
2025,WACE,80
2025,WAEA,240
2025,WAST,240
2025,WAUN,176
2025,WIUN,217
2025,WVMA,227
2025,WVUN,266
2025,WVWL,76
2025,WYUN,229
