player_id,season,position,unit,player,run_defense_snaps,pass_rush_snaps,coverage_snaps,total_snaps,run_block_snaps,receiving_snaps,pass_block_snaps,run_snaps,pass_snaps,run_defense,pass_rush,coverage,discipline,defense,run_block,receiving,pass_block,run,pass,offense,coverage_rank,offense_rank,defense_rank,run_defense_rank,pass_rush_rank,receiving_rank,pass_rank,run_block_rank,pass_block_rank,run_rank,season_1,position_1,pff_player_id,wick_score,capped_wick_score
56122,2020,CB,defense,Cam Johnson,3947.0,0.0,4378.0,9234,0.0,0.0,0.0,0.0,0.0,57.470000000000006,,75.67,33.239999999999995,71.41,,,,,,,52.0,,104.6,262.89473684210526,,,,,,,2020,NB,56122,38.4,38.4
83459,2021,CB,defense,Beanie Bishop Jr.,2683.0,14.0,2811.0,7744,0.0,0.0,0.0,0.0,0.0,75.6842105263158,53.9,69.51578947368421,82.96842105263158,71.78947368421052,,,,,,,369.1333333333333,,277.6470588235294,143.5,,,,,,,2021,NB,83459,57.9,57.9
97329,2022,CB,defense,Derrick Canteen,4788.0,139.0,5213.0,11407,0.0,0.0,0.0,0.0,0.0,60.978947368421046,68.62307692307692,70.62105263157895,74.88421052631578,69.36315789473684,,,,,,,270.63157894736844,,308.2631578947368,558.421052631579,,,,,,,2022,NB,97329,30.1,30.1
100302,2023,CB,defense,Kempton Shine,4960.0,19.0,4936.0,10179,0.0,0.0,0.0,0.0,0.0,84.77894736842104,59.0,68.38947368421053,18.178947368421053,70.88947368421053,,,,,,,337.42105263157896,,279.2105263157895,37.94736842105263,,,,,,,2023,NB,100302,50.9,50.9
121497,2023,CB,defense,Mac McWilliams,4661.0,7.0,5398.0,11355,0.0,0.0,0.0,0.0,0.0,71.91052631578947,59.4,62.40526315789474,84.73157894736842,64.88947368421053,,,,,,,559.7222222222222,,522.0555555555555,252.42105263157896,,,,,,,2023,NB,121497,45.3,45.3
129686,2023,CB,defense,RJ Delancy III,1890.0,34.0,2788.0,5838,0.0,0.0,0.0,0.0,0.0,75.85263157894737,60.2,86.8578947368421,73.89999999999999,86.73157894736842,,,,,,,19.88235294117647,,14.176470588235293,136.5625,,,,,,,2023,NB,129686,63.3,63.3
131462,2023,CB,defense,Preston Hodge,2762.0,126.0,5336.0,10233,0.0,0.0,0.0,0.0,0.0,71.1842105263158,64.23529411764706,83.51578947368421,86.44736842105263,83.5,,,,,,,50.0,,43.666666666666664,280.5882352941176,,,,,,,2023,NB,131462,60.7,60.7
144393,2023,CB,defense,Jalen McMurray,4675.0,150.0,4617.0,10458,0.0,0.0,0.0,0.0,0.0,70.55789473684212,51.817647058823525,69.23684210526316,72.24736842105263,69.61578947368422,,,,,,,359.7894736842105,,366.7894736842105,292.89473684210526,,,,,,,2023,NB,144393,33.0,33.0
184348,2024,CB,defense,Jordan Scruggs,3513.0,42.0,5456.0,10163,0.0,0.0,0.0,0.0,0.0,76.515,56.419999999999995,78.935,34.07,77.83500000000001,,,,,,,76.95,,80.9,107.1,,,,,,,2024,NB,184348,64.4,64.4
43185,2021,CB,defense,Justin Clark,2454.0,33.0,2475.0,5886,0.0,0.0,0.0,0.0,0.0,76.43157894736842,63.03888888888889,67.66842105263159,80.82105263157894,70.60526315789474,,,,,,,312.92857142857144,,225.88888888888889,123.84210526315789,,,,,,,2021,CB,43185,85.6,85.6
55569,2021,CB,defense,Azizi Hearn,4919.0,19.0,4774.0,10295,0.0,0.0,0.0,0.0,0.0,77.15789473684211,59.800000000000004,74.23684210526316,27.410526315789472,73.82631578947368,,,,,,,146.77777777777777,,142.61111111111111,104.11111111111111,,,,,,,2021,CB,55569,100.0,100.0
55750,2021,CB,defense,C.J. Coldon Jr.,5409.0,29.0,5247.0,11580,0.0,0.0,0.0,0.0,0.0,73.26315789473684,70.47777777777779,70.47368421052632,2.373684210526316,69.53684210526316,,,,,,,249.52631578947367,,283.2631578947368,213.21052631578948,,,,,,,2021,CB,55750,64.5,64.5
56122,2020,CB,defense,Cam Johnson,3947.0,0.0,4378.0,9234,0.0,0.0,0.0,0.0,0.0,57.470000000000006,,75.67,33.239999999999995,71.41,,,,,,,52.0,,104.6,262.89473684210526,,,,,,,2020,CB,56122,57.8,57.8
65033,2020,CB,defense,Akayleb Evans,2376.0,3.0,2601.0,5320,0.0,0.0,0.0,0.0,0.0,67.01666666666667,78.3,65.16111111111111,14.605555555555554,64.52777777777777,,,,,,,240.25,,248.1875,172.38888888888889,,,,,,,2020,CB,65033,75.3,75.3
65081,2020,CB,defense,Allie Green IV,2214.0,0.0,2700.0,5244,0.0,0.0,0.0,0.0,0.0,72.79444444444444,,46.74444444444444,21.422222222222224,49.400000000000006,,,,,,,500.6923076923077,,505.6666666666667,109.5,,,,,,,2020,CB,65081,47.9,47.9
75699,2021,CB,defense,Rashad Ajayi,4560.0,142.0,5070.0,11314,0.0,0.0,0.0,0.0,0.0,51.97894736842105,46.922222222222224,75.28947368421052,33.421052631578945,69.52631578947368,,,,,,,136.68421052631578,,290.10526315789474,684.9473684210526,,,,,,,2021,CB,75699,67.6,67.6
76604,2023,CB,defense,Capone Blue,4106.0,58.0,3752.0,9439,0.0,0.0,0.0,0.0,0.0,57.95789473684211,54.62105263157895,66.0578947368421,46.03684210526316,63.84736842105263,,,,,,,419.05263157894734,,523.421052631579,606.578947368421,,,,,,,2023,CB,76604,52.5,52.5
76740,2021,CB,defense,Jeremy Lucien,4193.0,0.0,3597.0,8836,0.0,0.0,0.0,0.0,0.0,69.975,,64.57000000000001,81.095,66.53,,,,,,,433.9,,390.6,274.8,,,,,,,2021,CB,76740,39.1,39.1
78673,2022,CB,defense,Decorian Patterson,4524.0,126.0,6256.0,12470,0.0,0.0,0.0,0.0,0.0,70.71052631578948,49.55789473684211,71.62105263157895,84.17894736842106,71.84210526315789,,,,,,,236.1578947368421,,224.94736842105263,320.5263157894737,53.0,,,,,,2022,CB,78673,62.2,62.2
83459,2021,CB,defense,Beanie Bishop Jr.,2683.0,14.0,2811.0,7744,0.0,0.0,0.0,0.0,0.0,75.6842105263158,53.9,69.51578947368421,82.96842105263158,71.78947368421052,,,,,,,369.1333333333333,,277.6470588235294,143.5,,,,,,,2021,CB,83459,64.9,64.9
84268,2021,CB,defense,Josh Newton,3760.0,148.0,4438.0,9885,0.0,0.0,0.0,0.0,0.0,58.63157894736842,65.34705882352942,74.03684210526316,52.152631578947364,71.03684210526316,,,,,,,172.8235294117647,,245.16666666666666,572.5333333333333,,,,,,,2021,CB,84268,60.6,60.6
